Index,Workorder ID,Description,Status,Type,Equipment Description,WO Owner,Priority,Scheduled Start Date,Scheduled End Date,PM Compliance Min Date,PM Compliance Max Date,Original PM due date,Completed date
25,55789785,AFE2 empty tote stacker V-belt is showing signs of wear,Scheduled,FPM,AFE.SHOE.1; EMP.TOTE 02; V-BELT CONV; 206740; GYR1-VBELT-206740 CC612,HOWARSUL,4,7/15/2021,7/15/2021,,,,
26,55789794,Empty tote stacker 4 has an audible air leak,Scheduled,FPM,AFE.SHOE.1; EMP.TOTE 02; RA CONV; 206365; GYR1-Accumulating Rollers-206365 CC612,LORRANG,4,7/15/2021,7/15/2021,,,,
27,53121022,Belt Tracking/ FOD removal(Near station 3-27),Scheduled,FPM,RCV.1; LANE 03; RA CONV; 203380; GYR1-Accumulating Rollers-203380 CC200,KIECLAR,5,7/15/2021,8/27/2021,,,,
28,52920977,investigate sound coming from EAM 1013422150,Scheduled,FPM,MOD.1; LANE 01; TRANSPORT CONV; 422150; GYR1-Accumulating Rollers-422150 CC212,VANBUC,4,7/16/2021,7/16/2021,,,,
29,53032637,MDR 850187 Slam decline MDR bed requires troubleshooting,Scheduled,FPM,PCK.1; LANE 02; SEGMENT BELT CONV; 850187; GYR1-MDR-850187 CC651,VANBUC,5,4/21/2021,5/16/2021,,,,
30,53165190,Shipping sorter lane near DD 155 V-belt over tensioned,Scheduled,FPM,SHP.SHOE.1; LANE 01; ROLLER TRANSPORT CONV; 160000; GYR1-VBELT-160000 CC510,KIECLAR,3,7/15/2021,10/24/2021,,,,
31,55793491,AFE2 merge lane 2 has a bad roller,Scheduled,FPM,AFE.SHOE.2; TAKEAWAY 57-58; RA CONV; 807096; GYR1-Accumulating Rollers-807096 CC,LORRANG,4,7/15/2021,7/15/2021,,,,
32,55793502,AFE2 merge lane 1 finger guard rubbing on belt and lacing,Scheduled,FPM,AFE.SHOE.2; TAKEAWAY 59-60; BELT ON ROLLER CONV; 810098; GYR1-Belted Transport-8,LORRANG,4,7/15/2021,7/15/2021,,,,
33,55793562,AFE2 induct 202 segmented belt has a bad MDR,Scheduled,FPM,AFE.SHOE.2; RETOTE 65; SEGMENT BELT CONV; 816066; GYR1-MDR-816066 CC970,LORRANG,4,7/15/2021,7/15/2021,,,,
34,54264932,nitta belt shavings,Scheduled,FPM,AFE.SHOE.2; TAKEAWAY 53-54; TRANSPORT CONV; 803074; GYR1-Accumulating Rollers-80,FELSOLON,4,6/13/2021,6/16/2021,,,,
35,54299764,slave bed tracking,Scheduled,FPM,MOD.1; LANE 00; SLIDER BED CONV; 621132; GYR1-Belted Transport-621132 CC221,THMDNI,5,5/31/2021,6/3/2021,,,,
36,54299878,PVC roller worn,Scheduled,FPM,MOD.2; LANE 01; RA CONV; 423170; GYR1-Accumulating Rollers-423170 CC213,THMDNI,5,5/31/2021,6/3/2021,,,,
37,54309273,O-Ring takeaway bed 206030 non-responsive,Scheduled,FPM,RCV.1; TRASH 00; BELT CONV; 206030; GYR1-Belted Transport-206030 CC200,AJVILA,5,7/16/2021,7/19/2021,,,,
38,54309354,MDR bed 203095 Nonresponsive ,Scheduled,FPM,RCV.1; LANE 03; SEGMENT BELT CONV; 203095; GYR1-MDR-203095 CC200,AJVILA,5,7/16/2021,7/19/2021,,,,
39,54309418,Roller/V belt guide on bed 201365 requires R&R,Scheduled,FPM,RCV.1; LANE 01; RA CONV; 201365; GYR1-Accumulating Rollers-201365 CC200,AJVILA,5,7/16/2021,7/19/2021,,,,
40,54309525,MDR Power box 201105 connections damaged,Scheduled,FPM,RCV.1; LANE 01; SEGMENT BELT CONV; 201105; GYR1-MDR-201105 CC200,VANBUC,5,5/8/2021,5/8/2021,,,,
41,54309718,Lock In point for flex Conveyors from fixed conveyor 203505 requires R&R,Scheduled,FPM,RCV.1; LANE 03; SEGMENT BELT CONV; 203505; GYR1-MDR-203505 CC200,MAUREYE,5,5/8/2021,5/8/2021,,,,
42,54309991,Smart Pac line 6 decline belt tracking,Scheduled,FPM,Narrow Belt LR APC w/Electronic Sensors,EMMUHLY,4,5/30/2021,6/2/2021,,,,
43,54358216,R&R slave bed belt on 850160,Scheduled,FPM,PCK.1; LANE 02; SLIDER BED CONV; 850160; GYR1-Belted Transport-850160 CC651,AJVILA,5,5/13/2021,5/16/2021,,,,
44,54358233,Troubleshoot/R&R knocking roller on BED 850045,Scheduled,FPM,PCK.1; LANE 01; SLIDER BED CONV; 850045; GYR1-Belted Transport-850045 CC651,THMDNI,5,6/3/2021,6/3/2021,,,,
45,54358305,R&R brake assembly on motor for bed 850160,Scheduled,FPM,PCK.1; LANE 02; SLIDER BED CONV; 850160; GYR1-Belted Transport-850160 CC651,AJVILA,5,5/6/2021,5/9/2021,,,,
46,54358289,Slave belt lacing showing signs of wear on bed 850060,Scheduled,FPM,PCK.1; LANE 01; SLIDER BED CONV; 850060; GYR1-Belted Transport-850060 CC651,AJVILA,5,5/13/2021,5/16/2021,,,,
47,54358293,Snubber Roller on Bed 850110 R&R,Scheduled,FPM,PCK.1; LANE 02; SLIDER BED CONV; 850110; GYR1-Belted Transport-850110 CC651,AJVILA,5,5/13/2021,5/16/2021,,,,
48,54358361,Slave bed Belt R&R on bed 850245,Scheduled,FPM,PCK.1; LANE 03; SLIDER BED CONV; 850245; GYR1-Belted Transport-850245 CC651,AJVILA,5,5/6/2021,5/9/2021,,,,
49,54724595,Receive merge lane 5 segmented belt drive belt is rubbing on pulley,Scheduled,FPM,RCV.1; LANE 05; METERING CONV; 205030; GYR1-Belted Transport-205030 CC205,HOWARSUL,4,7/15/2021,7/15/2021,,,,
50,54725047,Receive station 1-13 O-Band has fallen off,Scheduled,FPM,RCV.1; LANE 01; MDR CONV; 201060; GYR1-MDR-201060 CC200,HOWARSUL,4,7/15/2021,7/15/2021,,,,
51,54725246,Receive station 1-09 guard rail joint broken,Scheduled,FPM,RCV.1; LANE 01; MDR CONV; 201040; GYR1-MDR-201040 CC200,HOWARSUL,4,7/15/2021,7/15/2021,,,,
52,53429056,Worn lacing on slave bed 622132 incline(between 2138-2131),Scheduled,FPM,MOD.1; REINDUCT 02; SLIDER BED CONV; 622132; GYR1-Belted Transport-622132 CC222,DUNHCHAS,5,7/15/2021,7/17/2021,,,,
53,54423947,Remove belt debris on bed 300440,Scheduled,FPM,RTE.SHOE.1; INFEED 06; BELT ON ROLLER CONV; 300440; GYR1-Belted Transport-300440,MAUREYE,5,7/16/2021,7/19/2021,,,,
54,54424133,Trim bed 622440.  Clean up stringers,Scheduled,FPM,RTE.SHOE.1; INFEED 05; BELT ON ROLLER CONV; 622440; GYR1-Belted Transport-622440,AJVILA,5,5/6/2021,5/9/2021,,,,
55,54424283,Nitta belt inspection/R&R as needed BED 300400,Scheduled,FPM,MOD.1; LANE 02; RA CONV; 622400; GYR1-Accumulating Rollers-622400 CC210,THMDNI,5,6/3/2021,6/3/2021,,,,
56,52884121,Bed 424170 by station 4406 finger guard requires securing,Scheduled,FPM,MOD.3; LANE 01; RA CONV; 424170; GYR1-Accumulating Rollers-424170 CC214,KIECLAR,5,5/10/2021,10/19/2021,,,,
57,54614430,AFE2 Infeed 213-212 decline belt tracking,Scheduled,FPM,AFE.SHOE.2; INFEED 03; SLIDER BED CONV; 800210; GYR1-Belted Transport-800210 CC9,THMDNI,4,6/3/2021,6/3/2021,,,,
58,54616471,V belt R&R on bed 850200,Scheduled,FPM,PCK.1; LANE 03; ROLLER TRANSPORT CONV; 850200; GYR1-VBELT-850200 CC413,VANBUC,5,5/27/2021,5/30/2021,,,,
59,54616527,R&R roller on bed 623130,Scheduled,FPM,MOD.2; LANE 02; TRANSPORT CONV; 623130; GYR1-Accumulating Rollers-623130 CC223,VANBUC,5,5/27/2021,5/30/2021,,,,
60,55049301,decline belt on AFV2 merge lane 2 needs tracking ,Scheduled,FPM,AFE.SHOE.2; TAKEAWAY 57-58; SLIDER BED CONV; 807095; GYR1-Belted Transport-80709,RNMORGA,5,7/17/2021,7/17/2021,,,,
61,51684219,Follow-Up from WO# 51095040 for 1013803032,Scheduled,FPM,AFE.SHOE.2; REBIN 53; RAT; 803032; GYR1-Pneumatic Divert-803032 CC965,AJVILA,5,7/17/2021,7/17/2021,,,,
62,53769862,204515 guarding needs to be inspected and repaired. ,Scheduled,FPM,RCV.1; LANE 04; RA CONV; 204515; GYR1-Accumulating Rollers-204515 CC200,MAUREYE,5,4/12/2021,4/12/2021,,,,
63,53769922,Inspect guarding and R&R as needed for decant,Scheduled,FPM,RCV.1; LANE 02; RA CONV; 202475; GYR1-Accumulating Rollers-202475 CC200,VANBUC,5,4/15/2021,4/22/2021,,,,
64,53769924,Inspect Guarding on Decant and R&R as needed,Scheduled,FPM,RCV.1; LANE 03; RA CONV; 203515; GYR1-Accumulating Rollers-203515 CC200,KIECLAR,5,7/15/2021,10/14/2021,,,,
65,53769935,R&R guarding on Decant.  ,Scheduled,FPM,RCV.1; LANE 01; MDR CONV; 201301; GYR1-MDR-201301 CC200,VANBUC,5,4/15/2021,4/15/2021,,,,
66,53979524,R&R slave bed lacing is showing signs of wear,Scheduled,FPM,AFE.SHOE.1; TAKEAWAY 03-04; SLIDER BED CONV; 503095; GYR1-Belted Transport-50309,KIERCLAR,5,6/3/2021,6/3/2021,,,,
67,54012592,Roller on bed 300140 requires R&R,Scheduled,FPM,RTE.SHOE.1; INFEED 06; TRANSPORT CONV; 300140; GYR1-Accumulating Rollers-300140 ,VANBUC,5,7/16/2021,7/16/2021,,,,
68,54017653,Inspect motor with UE tech 300270,Scheduled,FPM,RTE.SHOE.1; INFEED 06; TRANSPORT CONV; 300270; GYR1-Accumulating Rollers-300270 ,MAUREYE,5,7/16/2021,7/16/2021,,,,
69,55388779,"Snub roller sounds bad, possible bad bearing creating wobble/ticking",Scheduled,FPM,AFE.SHOE.2; RETOTE 62; SEGMENT BELT CONV; 813068; GYR1-MDR-813068 CC985,SALASJUD,4,6/2/2021,6/2/2021,,,,
70,55388842,"Rollers not touching nittabelt, Product under rollers needs to be cleared",Scheduled,FPM,AFE.SHOE.2; TAKEAWAY 63-64; RA CONV; 815096; GYR1-Accumulating Rollers-815096 CC,SALASJUD,5,6/2/2021,6/2/2021,,,,
71,55557550,AFE2 merge lane 5 after decline Nitta belt is half on the roller,Scheduled,FPM,AFE.SHOE.2; TAKEAWAY 59-60; RA CONV; 810096; GYR1-Accumulating Rollers-810096 CC,HOWARSUL,4,7/15/2021,7/15/2021,,,,
72,55557772,Induct 211 tray takeaway AFE2  curve nitta belt is half on the roller,Scheduled,FPM,AFE.SHOE.2; RETOTE 56; SEGMENT BELT CONV; 806073; GYR1-MDR-806073 CC965,HOWARSUL,4,7/15/2021,7/15/2021,,,,
73,55558690,Worn Rollers on bed 504000,Scheduled,FPM,AFE.SHOE.1; REBIN 04; ROLLER TRANSPORT CONV; 504000; GYR1-VBELT-504000 CC900,JRRYCH,5,7/17/2021,7/17/2021,,,,
74,55558782,Cleaning of area around 505004,Scheduled,FPM,AFE.SHOE.1; REBIN 05; RA CONV; 505004; GYR1-Accumulating Rollers-505004 CC915,JRRYCH,5,7/17/2021,7/17/2021,,,,
75,61888643,End roller bearing shot,Scheduled,FPM,AFE.SHOE.2; SLAM 07; BELT CONV; 819620; GYR1-MDR-819620 CC995,JRRYCH,5,10/9/2021,10/9/2021,,,,
76,55213068,worn roller needs to be replaced,Scheduled,FPM,AFE.SHOE.1; TAKEAWAY 01-02; RA CONV; 501096; GYR1-Accumulating Rollers-501096 CC,EALYSS,5,10/10/2021,10/10/2021,,,,
77,55213085,failing snubber needs to be replaced,Scheduled,FPM,AFE.SHOE.1; TAKEAWAY 01-02; METERING CONV; 501097; GYR1-Belted Transport-501097 ,EALYSS,5,10/11/2021,10/11/2021,,,,
78,55213590,air puck assembly needs to be replaced,Scheduled,FPM,AFE.SHOE.1; TAKEAWAY 05-06; RA CONV; 505096; GYR1-Accumulating Rollers-505096 CC,AREAARON,5,10/7/2021,10/7/2021,,,,
79,61434057,RME- EQP WEEKLY TRAINING (KNET/JQS/SAFETY),Scheduled,TRPM,RME DEPARTMENT,FCCERMAK,5,10/20/2021,10/26/2021,,,10/20/2021,
80,54358219,Rebin 105-01 recirc RAT has an audible air leak when actuated,Scheduled,FPM,AFE.SHOE.1; REBIN 12; RAT; 513039; GYR1-Pneumatic Divert-513039 CC920,RIRSSEL,4,4/22/2021,4/22/2021,,,,
81,54358282,Rebin 107 takeaway has a bad MDR,Scheduled,FPM,AFE.SHOE.1; RETOTE 10; MDR CONV; 511082; GYR1-MDR-511082 CC920,RIRSSEL,4,4/22/2021,4/22/2021,,,,
82,54424501,Secure Jam Beacon 424400,Scheduled,FPM,RTE.SHOE.1; INFEED 01; RA CONV; 424400; GYR1-Accumulating Rollers-424400 CC220,RNMORGA,5,4/23/2021,4/23/2021,,,,
83,54557177,Belt replacement,Scheduled,CM,AFE.SHOE.1; TAKEAWAY 03-04; RA CONV; 503096; GYR1-Accumulating Rollers-503096 CC,RIRSSEL,3,4/26/2021,4/26/2021,,,,
84,54569281,rebin wall station 115(01-04) inop light bar buttons 10 ECH,Scheduled,CM,AFE.SHOE.1; REBIN 02; RAT; 502012; GYR1-Pneumatic Divert-502012 CC915,RIRSSEL,4,4/26/2021,4/26/2021,,,,
85,54569404,rebin wall 105-04 MDR stall fault (blue tape indicates) ,Scheduled,CM,AFE.SHOE.1; REBIN 12; SEGMENT BELT CONV; 513010; GYR1-MDR-513010 CC920,RIRSSEL,4,4/26/2021,4/26/2021,,,,
86,51930071, cable replacement,Scheduled,CM,AFE.SHOE.1; REBIN 05; RAT; 505012; GYR1-Pneumatic Divert-505012 CC915,RIRSSEL,5,2/24/2021,2/24/2021,,,,
87,52180757,AFE 112-B light bar not illuminating,Scheduled,CM,AFE.SHOE.1; REBIN 05; RAT; 505032; GYR1-Pneumatic Divert-505032 CC915,RIRSSEL,4,3/1/2021,3/1/2021,,,,
88,54787628,motor not mooving,Scheduled,CM,AFE.SHOE.1; REBIN 01; RA CONV; 501004; GYR1-Accumulating Rollers-501004 CC915,RIRSSEL,4,4/30/2021,4/30/2021,,,,
89,54571397,Right hand railing needs to be adjusted,Scheduled,CM,AFE.SHOE.1; EMP.TOTE 02; SEGMENT BELT CONV; 206345; GYR1-MDR-206345 CC612,RIRSSEL,5,4/26/2021,4/26/2021,,,,
90,54656248,MDR Overtemping,Scheduled,CM,AFE.SHOE.1; RETOTE 04; BELT CONV; 504069; GYR1-MDR-504069 CC915,RIRSSEL,3,4/28/2021,4/28/2021,,,,
91,54972154,roller not rolling,Scheduled,CM,AFE.SHOE.1; TAKEAWAY 13-14; SLIDER BED CONV; 515095; GYR1-Belted Transport-51509,RIRSSEL,3,5/5/2021,5/5/2021,,,,
92,54972139,roller not working,Scheduled,CM,AFE.SHOE.1; TAKEAWAY 13-14; SLIDER BED CONV; 515095; GYR1-Belted Transport-51509,RIRSSEL,3,5/5/2021,5/5/2021,,,,
93,54672909,bad pi-con ,Scheduled,CM,AFE.SHOE.1; REBIN 03; MDR CONV; 503033; GYR1-Pneumatic Divert-503033 CC915,RIRSSEL,4,4/28/2021,4/28/2021,,,,
94,54666416,Bad MDR on 109 Takeaway,Scheduled,CM,AFE.SHOE.1; RETOTE 08; SEGMENT BELT CONV; 508068; GYR1-MDR-508068 CC915,RIRSSEL,3,4/28/2021,4/28/2021,,,,
95,52730710,Belt Requires Tracking,Scheduled,CM,AFE.SHOE.1; TAKEAWAY 13-14; SLIDER BED CONV; 515095; GYR1-Belted Transport-51509,RIRSSEL,3,3/15/2021,3/15/2021,,,,
96,53132804,Wall station 113-02 finger guard/side rail broken at elbow connection,Scheduled,CM,AFE.SHOE.1; REBIN 04; MDR CONV; 504034; GYR1-MDR-504034 CC915,RIRSSEL,5,3/24/2021,3/24/2021,,,,
97,47715147,HMI BACKUPS,Scheduled,TR,AFE.SHOE.1; EMP.TOTE 02; RAT; 206760; GYR1-Pneumatic Divert-206760 CC612,RIRSSEL,5,11/18/2020,11/18/2020,,,,
98,53093913,Singing O-Ring bed Requires r&r Bed 424180 (4421 station),Scheduled,FPM,MOD.3; LANE 01; SLIDER BED CONV; 424180; GYR1-Belted Transport-424180 CC220,MAUREYE,5,3/30/2021,3/30/2021,,,,
99,52826528,Broken PE housing,Scheduled,CM,AFE.SHOE.1; REBIN 07; RAT; 507032; GYR1-Pneumatic Divert-507032 CC915,RIRSSEL,4,3/17/2021,3/17/2021,,,,
100,52826522,Broken PE housing,Scheduled,CM,AFE.SHOE.1; REBIN 07; RAT; 507032; GYR1-Pneumatic Divert-507032 CC915,RIRSSEL,4,3/17/2021,3/17/2021,,,,
101,51612486,loose railing,Scheduled,CM,AFE.SHOE.1; REBIN 08; ROLLER TRANSPORT CONV; 508000; GYR1-VBELT-508000 CC900,RIRSSEL,3,2/15/2021,2/15/2021,,,,
102,51651165,AFE1 REWBIN 111-01MDR needs replacement,Scheduled,CM,AFE.SHOE.1; REBIN 06; SEGMENT BELT CONV; 506038; GYR1-MDR-506038 CC915,RIRSSEL,3,2/16/2021,2/16/2021,,,,
103,53379808,blue nitta belt ,Scheduled,FPM,AFE.SHOE.1; REBIN 11; RA CONV; 512004; GYR1-Accumulating Rollers-512004 CC920,JRRYCH,4,4/13/2021,4/13/2021,,,,
104,53379838,blue nitta belt ,Scheduled,FPM,AFE.SHOE.1; RETOTE 14; RA CONV; 515065; GYR1-Accumulating Rollers-515065 CC920,JRRYCH,4,4/13/2021,4/13/2021,,,,
105,53391003,MDR failing rebin wall station 107-03,Scheduled,CM,AFE.SHOE.1; REBIN 10; SEGMENT BELT CONV; 511026; GYR1-MDR-511026 CC920,RIRSSEL,4,3/30/2021,3/30/2021,,,,
106,55393136,Track Belt 108 Takeaway,Scheduled,CM,AFE.SHOE.1; RETOTE 09; MDR CONV; 510070; GYR1-MDR-510070 CC935,RIRSSEL,4,5/14/2021,5/14/2021,,,,
107,55296986,103 mdr replacement,Scheduled,CM,AFE.SHOE.1; REBIN 14; SEGMENT BELT CONV; 515008; GYR1-MDR-515008 CC920,RIRSSEL,5,5/12/2021,5/12/2021,,,,
108,55301691,Missing MDR- Took one to get 204 Rebin running,Scheduled,BRKD,AFE.SHOE.1; REBIN 13; MDR CONV; 514013; GYR1-Pneumatic Divert-514013 CC920,RIRSSEL,3,5/12/2021,5/12/2021,,,,
109,54017826,Decline and slave belt at singles large tracking into wall,Scheduled,FPM,PCK.1; LANE 02; SLIDER BED CONV; 850145; GYR1-Belted Transport-850145 CC651,MAUREYE,4,4/29/2021,4/29/2021,,,,
110,54018200,Slave Belt tracked into wall on slam 111,Scheduled,FPM,Belt on Slider Conveyor - Decline,EMMUHLY,4,4/14/2021,4/14/2021,,,,
111,54047994,v-belt bearings,Scheduled,FPM,AFE.SHOE.1; INFEED 10; ROLLER TRANSPORT CONV; 700900; GYR1-VBELT-700900 CC414,RIRSSEL,5,4/14/2021,4/14/2021,,,,
112,55251915,Belt on bed 510070 needs tracking,Scheduled,FPM,AFE.SHOE.1; RETOTE 09; MDR CONV; 510070; GYR1-MDR-510070 CC935,PEDEJOSE,5,5/11/2021,5/11/2021,,,,
113,55257299,v-belt on 700300 overtensioned,Scheduled,FPM,AFE.SHOE.1; INFEED 04; ROLLER TRANSPORT CONV; 700300; GYR1-VBELT-700300 CC413,PEDEJOSE,5,5/11/2021,5/11/2021,,,,
114,53769283,Trim track and defod and drop pans 1013860155,Scheduled,FPM,RCV.1; LANE 01; RA CONV; 201455; GYR1-Accumulating Rollers-201455 CC200,MAUREYE,5,4/12/2021,4/12/2021,,,,
115,55170550,rebin take-away 109-03 belt worn conveyer bed not level,Scheduled,CM,AFE.SHOE.1; REBIN 08; SEGMENT BELT CONV; 508026; GYR1-MDR-508026 CC915,RIRSSEL,4,5/9/2021,5/9/2021,,,,
116,53915778,Air Leak,Scheduled,FPM,AFE.SHOE.1; EMP.TOTE 02; RA CONV; 206365; GYR1-Accumulating Rollers-206365 CC612,RIRSSEL,5,4/12/2021,4/12/2021,,,,
117,61439617,RME- CONTROLS MONTHLY TECH DRILL,Scheduled,TRPM,RME DEPARTMENT,MOAUST,5,10/14/2021,10/20/2021,,,10/14/2021,
118,54570846,Rebin 102 infeed segmented belt is tracked off of rollers,Scheduled,FPM,AFE.SHOE.1; REBIN 15; SEGMENT BELT CONV; 516005; GYR1-MDR-516005 CC920,RIRSSEL,4,10/13/2021,10/13/2021,,,,
119,54884140,Rebin 112-03 has an audible air leak at the RAT when actuated,Scheduled,FPM,AFE.SHOE.1; REBIN 05; RAT; 505022; GYR1-Pneumatic Divert-505022 CC915,RIRSSEL,4,10/13/2021,10/13/2021,,,,
120,54884716,AFE1 empty tote nitta belt is on the edge of the drive pulley,Scheduled,FPM,AFE.SHOE.1; EMP.TOTE 01; RA CONV; 206115; GYR1-Accumulating Rollers-206115 CC930,RIRSSEL,4,10/13/2021,10/13/2021,,,,
121,54887389,R&R slave bed belt bed 510095,Scheduled,FPM,AFE.SHOE.1; TAKEAWAY 09-10; SLIDER BED CONV; 510095; GYR1-Belted Transport-51009,RIRSSEL,4,5/23/2021,10/14/2021,,,,
122,54571171,V belt tension on bed 700300 adjust and R&R as needed.,Scheduled,FPM,AFE.SHOE.1; INFEED 04; ROLLER TRANSPORT CONV; 700300; GYR1-VBELT-700300 CC413,RIRSSEL,5,5/6/2021,10/15/2021,,,,
123,61618600,RME- EQP WEEKLY TRAINING (KNET/JQS/SAFETY),Scheduled,TRPM,RME DEPARTMENT,FCCERMAK,5,11/3/2021,11/9/2021,,,11/3/2021,
124,62035351,V-belt requires adjustment/Finger guards missing,Scheduled,FPM,AFE.SHOE.1; INFEED 10; V-BELT CONV; 700905; GYR1-VBELT-700905 CC413,SALASJUD,4,10/13/2021,10/13/2021,,,,
125,62027207,Belt needs alignment,Scheduled,FPM,AFE.SHOE.1; INFEED 07; V-BELT CONV; 700625; GYR1-VBELT-700625 CC935,SALASJUD,5,10/13/2021,10/13/2021,,,,
126,62476767,AE TEAM TRAINING (KNET/JQS/SAFETY/TECH DRILL) WEEKLY,Scheduled,TRPM,CONTROL SYSTEM,PORSHOTA,5,11/24/2021,11/30/2021,,,11/24/2021,
127,62760131,AE TEAM TRAINING (KNET/JQS/SAFETY/TECH DRILL) WEEKLY,Scheduled,TRPM,CONTROL SYSTEM,MOAUST,5,12/1/2021,12/7/2021,,,12/1/2021,
128,62760134,RME- EQP WEEKLY TRAINING (KNET/JQS/SAFETY),Scheduled,TRPM,RME DEPARTMENT,FCCERMAK,5,12/1/2021,12/7/2021,,,12/1/2021,
129,63502090,Weekly AR Jams,Scheduled,BRKD,ARSAW Station #111 - 1359 & 1360,PORSHOTA,5,11/14/2021,11/21/2021,,,,
130,63076269,Take Up assembly troubleshoot bed 421170,Scheduled,FPM,MOD.1; LANE 02; RA CONV; 421170; GYR1-Accumulating Rollers-421170 CC211,RIRSSEL,5,11/14/2021,11/14/2021,,,,
131,63076339,25 db air leak bed 216030,Scheduled,FPM,MOD.1; INFEED 01; RA CONV; 216030; GYR1-Accumulating Rollers-216030 CC205,RIRSSEL,5,11/14/2021,11/15/2021,,,,
